Traceback (most recent call last):
  File "./combine_obs_2min.py", line 3, in <module>
    from letkfobsio import *
ModuleNotFoundError: No module named 'letkfobsio'
2013:07:13 04-25-30 -> 2013:07:13 04-26-00
2013:07:13 04-26-00 -> 2013:07:13 04-26-00
2013:07:13 04-26-00 -> 2013:07:13 04-26-00
2013:07:13 04-26-30 -> 2013:07:13 04-27-00
2013:07:13 04-27-00 -> 2013:07:13 04-27-00
2013:07:13 04-26-30 -> 2013:07:13 04-28-00
2013:07:13 04-27-30 -> 2013:07:13 04-28-00
2013:07:13 04-27-00 -> 2013:07:13 04-28-00
2013:07:13 04-28-00 -> 2013:07:13 04-28-00
2013:07:13 04-27-30 -> 2013:07:13 04-28-00
2013:07:13 04-28-00 -> 2013:07:13 04-28-00
2013:07:13 04-28-30 -> 2013:07:13 04-29-00
2013:07:13 04-29-00 -> 2013:07:13 04-29-00
2013:07:13 04-28-30 -> 2013:07:13 04-30-00
2013:07:13 04-29-30 -> 2013:07:13 04-30-00
2013:07:13 04-29-00 -> 2013:07:13 04-30-00
2013:07:13 04-30-00 -> 2013:07:13 04-30-00
2013:07:13 04-29-30 -> 2013:07:13 04-30-00
2013:07:13 04-30-00 -> 2013:07:13 04-30-00
2013:07:13 04-30-30 -> 2013:07:13 04-31-00
2013:07:13 04-31-00 -> 2013:07:13 04-31-00
2013:07:13 04-31-30 -> 2013:07:13 04-32-00
2013:07:13 04-30-30 -> 2013:07:13 04-32-00
2013:07:13 04-32-00 -> 2013:07:13 04-32-00
2013:07:13 04-31-00 -> 2013:07:13 04-32-00
2013:07:13 04-31-30 -> 2013:07:13 04-32-00
2013:07:13 04-32-00 -> 2013:07:13 04-32-00
2013:07:13 04-32-30 -> 2013:07:13 04-33-00
2013:07:13 04-33-00 -> 2013:07:13 04-33-00
2013:07:13 04-32-30 -> 2013:07:13 04-34-00
2013:07:13 04-33-30 -> 2013:07:13 04-34-00
2013:07:13 04-33-00 -> 2013:07:13 04-34-00
2013:07:13 04-34-00 -> 2013:07:13 04-34-00
2013:07:13 04-33-30 -> 2013:07:13 04-34-00
2013:07:13 04-34-00 -> 2013:07:13 04-34-00
2013:07:13 04-34-30 -> 2013:07:13 04-35-00
2013:07:13 04-35-00 -> 2013:07:13 04-35-00
2013:07:13 04-35-30 -> 2013:07:13 04-36-00
2013:07:13 04-34-30 -> 2013:07:13 04-36-00
2013:07:13 04-36-00 -> 2013:07:13 04-36-00
2013:07:13 04-35-00 -> 2013:07:13 04-36-00
2013:07:13 04-35-30 -> 2013:07:13 04-36-00
2013:07:13 04-36-00 -> 2013:07:13 04-36-00
2013:07:13 04-36-30 -> 2013:07:13 04-37-00
2013:07:13 04-37-00 -> 2013:07:13 04-37-00
2013:07:13 04-37-30 -> 2013:07:13 04-38-00
2013:07:13 04-36-30 -> 2013:07:13 04-38-00
2013:07:13 04-38-00 -> 2013:07:13 04-38-00
2013:07:13 04-37-00 -> 2013:07:13 04-38-00
2013:07:13 04-37-30 -> 2013:07:13 04-38-00
2013:07:13 04-38-00 -> 2013:07:13 04-38-00
2013:07:13 04-38-30 -> 2013:07:13 04-39-00
2013:07:13 04-39-00 -> 2013:07:13 04-39-00
2013:07:13 04-38-30 -> 2013:07:13 04-40-00
2013:07:13 04-39-30 -> 2013:07:13 04-40-00
2013:07:13 04-39-00 -> 2013:07:13 04-40-00
2013:07:13 04-40-00 -> 2013:07:13 04-40-00
2013:07:13 04-39-30 -> 2013:07:13 04-40-00
2013:07:13 04-40-00 -> 2013:07:13 04-40-00
2013:07:13 04-40-30 -> 2013:07:13 04-41-00
2013:07:13 04-41-00 -> 2013:07:13 04-41-00
2013:07:13 04-41-30 -> 2013:07:13 04-42-00
2013:07:13 04-40-30 -> 2013:07:13 04-42-00
2013:07:13 04-42-00 -> 2013:07:13 04-42-00
2013:07:13 04-41-00 -> 2013:07:13 04-42-00
2013:07:13 04-41-30 -> 2013:07:13 04-42-00
2013:07:13 04-42-00 -> 2013:07:13 04-42-00
2013:07:13 04-42-30 -> 2013:07:13 04-43-00
2013:07:13 04-43-00 -> 2013:07:13 04-43-00
2013:07:13 04-43-30 -> 2013:07:13 04-44-00
2013:07:13 04-42-30 -> 2013:07:13 04-44-00
2013:07:13 04-44-00 -> 2013:07:13 04-44-00
2013:07:13 04-43-00 -> 2013:07:13 04-44-00
2013:07:13 04-43-30 -> 2013:07:13 04-44-00
2013:07:13 04-44-00 -> 2013:07:13 04-44-00
2013:07:13 04-44-30 -> 2013:07:13 04-45-00
2013:07:13 04-45-00 -> 2013:07:13 04-45-00
2013:07:13 04-45-30 -> 2013:07:13 04-46-00
2013:07:13 04-44-30 -> 2013:07:13 04-46-00
